en,kor,cc
Face facts!,진실을 마주해!,CC-BY 2.0 (France) Attribution: tatoeba.org #1299325 (CM) & #8363338 (Eunhee)
"It's a ridiculous question, really.",참으로 황당한 질문이네.,CC-BY 2.0 (France) Attribution: tatoeba.org #2440038 (CM) & #8407685 (Eunhee)
Is this love?,이게 사랑인가요?,CC-BY 2.0 (France) Attribution: tatoeba.org #326263 (CK) & #10617669 (ssuss32)
Tom is still quite young.,톰은 아직도 꽤 어려.,CC-BY 2.0 (France) Attribution: tatoeba.org #8366706 (CK) & #8366743 (Eunhee)
I quit.,나 나간다.,CC-BY 2.0 (France) Attribution: tatoeba.org #731636 (Eldad) & #11104721 (intertime)
They refused.,그 사람들은 거절했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111364 (CK) & #8363446 (Eunhee)
I love you more than you love me.,네가 날 사랑하는 만큼보다 더 널 사랑해.,CC-BY 2.0 (France) Attribution: tatoeba.org #17829 (lazycat) & #11104653 (intertime)
I think that Tom is distinguished.,나는 톰이 뛰어나다고 생각한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #7110852 (CM) & #9803449 (ST_Young)
Humans can't live without air.,인간은 공기 없인 살 수 없어.,CC-BY 2.0 (France) Attribution: tatoeba.org #7908305 (shekitten) & #8361862 (Eunhee)
Can the matter wait till tomorrow?,그 일은 내일까지 기다려도 돼?,CC-BY 2.0 (France) Attribution: tatoeba.org #43511 (CK) & #3674952 (ssuss32)
They want peace.,그들은 평화를 원한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2011318 (CK) & #6304998 (Queserasera)
I need my keys.,내 열쇠가 필요하다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2387508 (CK) & #11106212 (intertime)
What do you want to eat?,뭐 먹고 싶어?,CC-BY 2.0 (France) Attribution: tatoeba.org #372015 (saeb) & #7166421 (Pablohyun)
Tom is smoking a cigar.,톰은 담배를 피우고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8367162 (CK) & #8367327 (Eunhee)
Tom thought that Mary might do that.,톰은 메리가 그것을 할 지도 모른다고 생각했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #7175139 (CK) & #11110657 (intertime)
Tom didn't notice what Mary was doing.,톰은 메리가 무엇을 하는지 알아채지 못했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #7542538 (CK) & #9583535 (vitalux)
All men are equal under the law.,모든 사람은 법 아래에 동등해.,CC-BY 2.0 (France) Attribution: tatoeba.org #321019 (CK) & #8365154 (Eunhee)
I'll meet Tom tomorrow.,나 내일 톰 만나려고.,CC-BY 2.0 (France) Attribution: tatoeba.org #2546675 (CK) & #4749600 (kimhkng)
Did you get anything?,뭐 알아낸 거 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #2881845 (CK) & #11110647 (intertime)
Have you ever been to Disneyland?,디즈니랜드에 가본 적 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #3561883 (CK) & #8362280 (Eunhee)
Everyone dies.,누구나 죽어.,CC-BY 2.0 (France) Attribution: tatoeba.org #435769 (CK) & #8368150 (Eunhee)
